";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;PumpedHydro_Closed_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-07 12:00:00;;;;;;;";0.0;0;38.0;0.0;38.0;-5.31;77.9;6.9
"2022-01-07 13:00:00;;;;;;;";0.0;0;30.0;0.0;30.0;-5.45;77.85;7.31
"2022-01-07 14:00:00;;;;;;;";0.0;0;41.0;0.0;41.0;-5.61;77.85;7.17
"2022-01-07 15:00:00;;;;;;;";0.0;0;26.0;26.64;24.0;-5.96;81.05;7.24
"2022-01-07 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.09;81.05;7.03
"2022-01-07 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.14;81.05;6.97
"2022-01-07 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.22;81.05;6.55
"2022-01-07 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-5.82;84.5;6.83
"2022-01-07 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-5.77;84.5;6.55
"2022-01-07 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-5.74;84.5;6.14
"2022-01-07 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-5.79;84.5;5.66
"2022-01-07 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-5.94;88.0;5.45
"2022-01-08 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.13;88.0;5.31
"2022-01-08 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.26;88.0;5.1
"2022-01-08 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.22;84.45;5.03
"2022-01-08 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.14;84.45;5.17
"2022-01-08 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.1;84.45;5.31
"2022-01-08 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-5.74;81.1;5.31
"2022-01-08 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-5.46;81.1;5.17
"2022-01-08 07:00:00;;;;;;;";0.0;0;41.0;8.02;40.0;-4.42;74.9;5.24
"2022-01-08 08:00:00;;;;;;;";0.0;0;54.0;0.0;54.0;-3.79;72.05;5.24
"2022-01-08 09:00:00;;;;;;;";0.0;0;66.0;0.0;66.0;-3.16;69.25;5.31
"2022-01-08 10:00:00;;;;;;;";0.0;0;70.0;0.0;70.0;-2.21;69.45;5.31
"2022-01-08 11:00:00;;;;;;;";0.0;0;54.0;0.0;54.0;-1.38;69.55;5.45
"2022-01-08 12:00:00;;;;;;;";0.0;0;55.0;0.0;55.0;-0.75;67.0;5.72
"2022-01-08 13:00:00;;;;;;;";0.0;0;43.0;0.0;43.0;-0.53;72.6;5.45
"2022-01-08 14:00:00;;;;;;;";0.0;0;37.0;0.0;37.0;-0.52;75.55;5.66
"2022-01-08 15:00:00;;;;;;;";0.0;0;7.0;0.0;7.0;-0.91;81.7;5.38
"2022-01-08 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-1.53;84.95;5.03
"2022-01-08 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-1.81;84.95;4.97
"2022-01-08 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-1.83;88.35;4.83
"2022-01-08 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-2.31;84.85;4.28
"2022-01-08 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-2.68;88.25;3.72
"2022-01-08 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.04;88.25;3.52
"2022-01-08 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.4;88.2;3.38
"2022-01-08 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.51;88.2;3.45
"2022-01-09 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.82;88.2;3.66
"2022-01-09 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-4.04;91.75;3.86
"2022-01-09 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.79;88.2;4.0
"2022-01-09 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.76;88.2;4.14
"2022-01-09 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.68;88.2;4.41
"2022-01-09 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.48;88.2;4.76
"2022-01-09 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.13;84.8;5.24
